name,element,meaning_upright,meaning_reversed,arcana,suit
Two of Swords,Air,"difficult choices, indecision, stalemate","lesser of two evils, no right choice, confusion",Minor,Swords
Three of Swords,Air,"heartbreak, suffering, grief","recovery, forgiveness, moving on",Minor,Swords
Four of Swords,Air,"rest, restoration, contemplation","restlessness, burnout, stress",Minor,Swords
Five of Swords,Air,"unbridled ambition, win at all costs, sneakiness","lingering resentment, desire to reconcile, forgiveness",Minor,Swords
Six of Swords,Air,"transition, leaving behind, moving on","emotional baggage, unresolved issues, resisting transition",Minor,Swords
Seven of Swords,Air,"deception, trickery, tactics and strategy","coming clean, rethinking approach, deception",Minor,Swords
Eight of Swords,Air,"imprisonment, entrapment, self-victimization","self acceptance, new perspective, freedom",Minor,Swords
Nine of Swords,Air,"anxiety, hopelessness, trauma","hope, reaching out, despair",Minor,Swords
Ten of Swords,Air,"failure, collapse, defeat","can't get worse, only upwards, inevitable end",Minor,Swords
Page of Swords,Air,"curiosity, restlessness, mental energy","deception, manipulation, all talk",Minor,Swords
Knight of Swords,Earth/Air,"action, impulsiveness, defending beliefs","no direction, disregard for consequences, unpredictability",Minor,Swords
Queen of Swords,Earth/Air,"complexity, perceptiveness, clear mindedness","cold hearted, cruel, bitterness",Minor,Swords
King of Swords,Earth/Air,"head over heart, discipline, truth","manipulative, cruel, weakness",Minor,Swords
